	Plate	Well	Frames	Well Number	Control Type	Original Gene Target	Plate_Map_Name	Gene_Replicate	Site	DNA
101	LT0004_11	A15	50	15	negative control	negative control	LT0004_11_15	1	1	LT0004_11/LT0004_11_15_50.tif
102	LT0004_11	B2	50	26	negative control	negative control	LT0004_11_26	1	1	LT0004_11/LT0004_11_26_50.tif
103	LT0004_11	C1	50	49	positive control	ENSG00000149503	LT0004_11_49	1	1	LT0004_11/LT0004_11_49_50.tif
104	LT0004_11	C4	50	52	positive control	ENSG00000149503	LT0004_11_52	1	1	LT0004_11/LT0004_11_52_50.tif
105	LT0004_11	C15	50	63	negative control	negative control	LT0004_11_63	1	1	LT0004_11/LT0004_11_63_50.tif
106	LT0004_11	D2	50	74	negative control	negative control	LT0004_11_74	1	1	LT0004_11/LT0004_11_74_50.tif
107	LT0004_11	M16	50	304	negative control	negative control	LT0004_11_304	1	1	LT0004_11/LT0004_11_304_50.tif
108	LT0004_11	N3	50	315	negative control	negative control	LT0004_11_315	1	1	LT0004_11/LT0004_11_315_50.tif
109	LT0004_11	O16	50	352	negative control	negative control	LT0004_11_352	1	1	LT0004_11/LT0004_11_352_50.tif
110	LT0004_47	A4	50	4	positive control	ENSG00000149503	LT0004_47_4	1	1	LT0004_47/LT0004_47_4_50.tif
111	LT0004_47	A15	50	15	negative control	negative control	LT0004_47_15	1	1	LT0004_47/LT0004_47_15_50.tif
112	LT0004_47	B2	50	26	negative control	negative control	LT0004_47_26	1	1	LT0004_47/LT0004_47_26_50.tif
113	LT0004_47	C1	50	49	positive control	ENSG00000149503	LT0004_47_49	1	1	LT0004_47/LT0004_47_49_50.tif
114	LT0004_47	C4	50	52	positive control	ENSG00000149503	LT0004_47_52	1	1	LT0004_47/LT0004_47_52_50.tif
115	LT0004_47	C15	50	63	negative control	negative control	LT0004_47_63	1	1	LT0004_47/LT0004_47_63_50.tif
116	LT0004_47	D2	50	74	negative control	negative control	LT0004_47_74	1	1	LT0004_47/LT0004_47_74_50.tif
117	LT0004_47	M16	50	304	negative control	negative control	LT0004_47_304	1	1	LT0004_47/LT0004_47_304_50.tif
118	LT0004_47	N3	50	315	negative control	negative control	LT0004_47_315	1	1	LT0004_47/LT0004_47_315_50.tif
119	LT0004_47	O16	50	352	negative control	negative control	LT0004_47_352	1	1	LT0004_47/LT0004_47_352_50.tif
120	LT0005_06	A4	50	4	positive control	ENSG00000149503	LT0005_06_4	1	1	LT0005_06/LT0005_06_4_50.tif
121	LT0005_06	A15	50	15	negative control	negative control	LT0005_06_15	1	1	LT0005_06/LT0005_06_15_50.tif
122	LT0005_06	B2	50	26	negative control	negative control	LT0005_06_26	1	1	LT0005_06/LT0005_06_26_50.tif
123	LT0005_06	C1	50	49	positive control	ENSG00000149503	LT0005_06_49	1	1	LT0005_06/LT0005_06_49_50.tif
124	LT0005_06	C4	50	52	positive control	ENSG00000149503	LT0005_06_52	1	1	LT0005_06/LT0005_06_52_50.tif
125	LT0005_06	C15	50	63	negative control	negative control	LT0005_06_63	1	1	LT0005_06/LT0005_06_63_50.tif
126	LT0005_06	D2	50	74	negative control	negative control	LT0005_06_74	1	1	LT0005_06/LT0005_06_74_50.tif
127	LT0005_06	N3	50	315	negative control	negative control	LT0005_06_315	1	1	LT0005_06/LT0005_06_315_50.tif
128	LT0005_06	O16	50	352	negative control	negative control	LT0005_06_352	1	1	LT0005_06/LT0005_06_352_50.tif
129	LT0005_06	P3	50	363	negative control	negative control	LT0005_06_363	1	1	LT0005_06/LT0005_06_363_50.tif
130	LT0005_44	A4	50	4	positive control	ENSG00000149503	LT0005_44_4	1	1	LT0005_44/LT0005_44_4_50.tif
131	LT0005_44	A15	50	15	negative control	negative control	LT0005_44_15	1	1	LT0005_44/LT0005_44_15_50.tif
132	LT0005_44	B2	50	26	negative control	negative control	LT0005_44_26	1	1	LT0005_44/LT0005_44_26_50.tif
133	LT0005_44	C1	50	49	positive control	ENSG00000149503	LT0005_44_49	1	1	LT0005_44/LT0005_44_49_50.tif
134	LT0005_44	C4	50	52	positive control	ENSG00000149503	LT0005_44_52	1	1	LT0005_44/LT0005_44_52_50.tif
135	LT0005_44	C15	50	63	negative control	negative control	LT0005_44_63	1	1	LT0005_44/LT0005_44_63_50.tif
136	LT0005_44	N3	50	315	negative control	negative control	LT0005_44_315	1	1	LT0005_44/LT0005_44_315_50.tif
137	LT0005_44	O16	50	352	negative control	negative control	LT0005_44_352	1	1	LT0005_44/LT0005_44_352_50.tif
138	LT0005_47	A4	50	4	positive control	ENSG00000149503	LT0005_47_4	1	1	LT0005_47/LT0005_47_4_50.tif
139	LT0005_47	A15	50	15	negative control	negative control	LT0005_47_15	1	1	LT0005_47/LT0005_47_15_50.tif
140	LT0005_47	B2	50	26	negative control	negative control	LT0005_47_26	1	1	LT0005_47/LT0005_47_26_50.tif
141	LT0005_47	C1	50	49	positive control	ENSG00000149503	LT0005_47_49	1	1	LT0005_47/LT0005_47_49_50.tif
142	LT0005_47	C4	50	52	positive control	ENSG00000149503	LT0005_47_52	1	1	LT0005_47/LT0005_47_52_50.tif
143	LT0005_47	C15	50	63	negative control	negative control	LT0005_47_63	1	1	LT0005_47/LT0005_47_63_50.tif
144	LT0005_47	D2	50	74	negative control	negative control	LT0005_47_74	1	1	LT0005_47/LT0005_47_74_50.tif
145	LT0005_47	N3	50	315	negative control	negative control	LT0005_47_315	1	1	LT0005_47/LT0005_47_315_50.tif
146	LT0005_47	O16	50	352	negative control	negative control	LT0005_47_352	1	1	LT0005_47/LT0005_47_352_50.tif
147	LT0006_10	A4	50	4	positive control	ENSG00000149503	LT0006_10_4	1	1	LT0006_10/LT0006_10_4_50.tif
148	LT0006_10	A15	50	15	negative control	negative control	LT0006_10_15	1	1	LT0006_10/LT0006_10_15_50.tif
149	LT0006_10	B2	50	26	negative control	negative control	LT0006_10_26	1	1	LT0006_10/LT0006_10_26_50.tif
150	LT0006_10	C1	50	49	positive control	ENSG00000149503	LT0006_10_49	1	1	LT0006_10/LT0006_10_49_50.tif
151	LT0006_10	C4	50	52	positive control	ENSG00000149503	LT0006_10_52	1	1	LT0006_10/LT0006_10_52_50.tif
152	LT0006_10	C15	50	63	negative control	negative control	LT0006_10_63	1	1	LT0006_10/LT0006_10_63_50.tif
