Plate,Well,Frames,Well Number,Control Type,Original Gene Target,Plate_Map_Name,Gene_Replicate,Site,DNA
LT0006_10,N3,50,315,negative control,negative control,LT0006_10_315,1,1,LT0006_10/LT0006_10_315_50.tif
LT0006_10,O16,50,352,negative control,negative control,LT0006_10_352,1,1,LT0006_10/LT0006_10_352_50.tif
LT0006_26,A1,50,1,positive control,ENSG00000149503,LT0006_26_1,1,1,LT0006_26/LT0006_26_1_50.tif
LT0006_26,A4,50,4,positive control,ENSG00000149503,LT0006_26_4,1,1,LT0006_26/LT0006_26_4_50.tif
LT0006_26,A15,50,15,negative control,negative control,LT0006_26_15,1,1,LT0006_26/LT0006_26_15_50.tif
LT0006_26,B2,50,26,negative control,negative control,LT0006_26_26,1,1,LT0006_26/LT0006_26_26_50.tif
LT0006_26,C1,50,49,positive control,ENSG00000149503,LT0006_26_49,1,1,LT0006_26/LT0006_26_49_50.tif
LT0006_26,C4,50,52,positive control,ENSG00000149503,LT0006_26_52,1,1,LT0006_26/LT0006_26_52_50.tif
LT0006_26,C15,50,63,negative control,negative control,LT0006_26_63,1,1,LT0006_26/LT0006_26_63_50.tif
LT0006_26,D2,50,74,negative control,negative control,LT0006_26_74,1,1,LT0006_26/LT0006_26_74_50.tif
LT0006_26,M16,50,304,negative control,negative control,LT0006_26_304,1,1,LT0006_26/LT0006_26_304_50.tif
LT0006_26,N3,50,315,negative control,negative control,LT0006_26_315,1,1,LT0006_26/LT0006_26_315_50.tif
LT0006_26,O16,50,352,negative control,negative control,LT0006_26_352,1,1,LT0006_26/LT0006_26_352_50.tif
LT0006_44,A1,50,1,positive control,ENSG00000149503,LT0006_44_1,1,1,LT0006_44/LT0006_44_1_50.tif
LT0006_44,A4,50,4,positive control,ENSG00000149503,LT0006_44_4,1,1,LT0006_44/LT0006_44_4_50.tif
LT0006_44,A15,50,15,negative control,negative control,LT0006_44_15,1,1,LT0006_44/LT0006_44_15_50.tif
LT0006_44,B2,50,26,negative control,negative control,LT0006_44_26,1,1,LT0006_44/LT0006_44_26_50.tif
LT0006_44,C1,50,49,positive control,ENSG00000149503,LT0006_44_49,1,1,LT0006_44/LT0006_44_49_50.tif
LT0006_44,C4,50,52,positive control,ENSG00000149503,LT0006_44_52,1,1,LT0006_44/LT0006_44_52_50.tif
LT0006_44,C15,50,63,negative control,negative control,LT0006_44_63,1,1,LT0006_44/LT0006_44_63_50.tif
LT0006_44,D2,50,74,negative control,negative control,LT0006_44_74,1,1,LT0006_44/LT0006_44_74_50.tif
LT0006_44,M16,50,304,negative control,negative control,LT0006_44_304,1,1,LT0006_44/LT0006_44_304_50.tif
LT0006_44,N3,50,315,negative control,negative control,LT0006_44_315,1,1,LT0006_44/LT0006_44_315_50.tif
LT0006_44,O16,50,352,negative control,negative control,LT0006_44_352,1,1,LT0006_44/LT0006_44_352_50.tif
LT0007_08,A1,50,1,positive control,ENSG00000149503,LT0007_08_1,1,1,LT0007_08/LT0007_08_1_50.tif
LT0007_08,A4,50,4,positive control,ENSG00000149503,LT0007_08_4,1,1,LT0007_08/LT0007_08_4_50.tif
LT0007_08,A15,50,15,negative control,negative control,LT0007_08_15,1,1,LT0007_08/LT0007_08_15_50.tif
LT0007_08,B2,50,26,negative control,negative control,LT0007_08_26,1,1,LT0007_08/LT0007_08_26_50.tif
LT0007_08,C1,50,49,positive control,ENSG00000149503,LT0007_08_49,1,1,LT0007_08/LT0007_08_49_50.tif
LT0007_08,C4,50,52,positive control,ENSG00000149503,LT0007_08_52,1,1,LT0007_08/LT0007_08_52_50.tif
LT0007_08,C15,50,63,negative control,negative control,LT0007_08_63,1,1,LT0007_08/LT0007_08_63_50.tif
LT0007_08,D2,50,74,negative control,negative control,LT0007_08_74,1,1,LT0007_08/LT0007_08_74_50.tif
LT0007_08,M16,50,304,negative control,negative control,LT0007_08_304,1,1,LT0007_08/LT0007_08_304_50.tif
LT0007_08,N3,50,315,negative control,negative control,LT0007_08_315,1,1,LT0007_08/LT0007_08_315_50.tif
