	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
101822	LT0089_01	C15	50	63	negative control	
101833	LT0089_01	D2	50	74	negative control	
102063	LT0089_01	M16	50	304	negative control	
102074	LT0089_01	N3	50	315	negative control	
102092	LT0089_01	N21	50	333	positive control	COPB
102095	LT0089_01	N24	50	336	positive control	COPB
102111	LT0089_01	O16	50	352	negative control	
102122	LT0089_01	P3	50	363	negative control	
102140	LT0089_01	P21	50	381	positive control	COPB
102143	LT0089_01	P24	50	384	positive control	COPB
102144	LT0089_02	A1	50	1	positive control	ENSG00000149503
102147	LT0089_02	A4	50	4	positive control	ENSG00000149503
102158	LT0089_02	A15	50	15	negative control	
102169	LT0089_02	B2	50	26	negative control	
102192	LT0089_02	C1	50	49	positive control	ENSG00000149503
102195	LT0089_02	C4	50	52	positive control	ENSG00000149503
102206	LT0089_02	C15	50	63	negative control	
102217	LT0089_02	D2	50	74	negative control	
102447	LT0089_02	M16	50	304	negative control	
102458	LT0089_02	N3	50	315	negative control	
102476	LT0089_02	N21	50	333	positive control	COPB
102479	LT0089_02	N24	50	336	positive control	COPB
102495	LT0089_02	O16	50	352	negative control	
102506	LT0089_02	P3	50	363	negative control	
102524	LT0089_02	P21	50	381	positive control	COPB
102527	LT0089_02	P24	50	384	positive control	COPB
102528	LT0089_22	A1	50	1	positive control	ENSG00000149503
102531	LT0089_22	A4	50	4	positive control	ENSG00000149503
102542	LT0089_22	A15	50	15	negative control	
102553	LT0089_22	B2	50	26	negative control	
102576	LT0089_22	C1	50	49	positive control	ENSG00000149503
102579	LT0089_22	C4	50	52	positive control	ENSG00000149503
102590	LT0089_22	C15	50	63	negative control	
102601	LT0089_22	D2	50	74	negative control	
102831	LT0089_22	M16	50	304	negative control	
102842	LT0089_22	N3	50	315	negative control	
102860	LT0089_22	N21	50	333	positive control	COPB
102863	LT0089_22	N24	50	336	positive control	COPB
102879	LT0089_22	O16	50	352	negative control	
102890	LT0089_22	P3	50	363	negative control	
102908	LT0089_22	P21	50	381	positive control	COPB
102911	LT0089_22	P24	50	384	positive control	COPB
102912	LT0090_33	A1	50	1	positive control	ENSG00000149503
102915	LT0090_33	A4	50	4	positive control	ENSG00000149503
102926	LT0090_33	A15	50	15	negative control	
102937	LT0090_33	B2	50	26	negative control	
102960	LT0090_33	C1	50	49	positive control	ENSG00000149503
102963	LT0090_33	C4	50	52	positive control	ENSG00000149503
102974	LT0090_33	C15	50	63	negative control	
102985	LT0090_33	D2	50	74	negative control	
103215	LT0090_33	M16	50	304	negative control	
103226	LT0090_33	N3	50	315	negative control	
103244	LT0090_33	N21	50	333	positive control	COPB
103247	LT0090_33	N24	50	336	positive control	COPB
103263	LT0090_33	O16	50	352	negative control	
103274	LT0090_33	P3	50	363	negative control	
103292	LT0090_33	P21	50	381	positive control	COPB
103295	LT0090_33	P24	50	384	positive control	COPB
103296	LT0090_46	A1	50	1	positive control	ENSG00000149503
103299	LT0090_46	A4	50	4	positive control	ENSG00000149503
103310	LT0090_46	A15	50	15	negative control	
103321	LT0090_46	B2	50	26	negative control	
103344	LT0090_46	C1	50	49	positive control	ENSG00000149503
103347	LT0090_46	C4	50	52	positive control	ENSG00000149503
103358	LT0090_46	C15	50	63	negative control	
103369	LT0090_46	D2	50	74	negative control	
103599	LT0090_46	M16	50	304	negative control	
103610	LT0090_46	N3	50	315	negative control	
103628	LT0090_46	N21	50	333	positive control	COPB
103631	LT0090_46	N24	50	336	positive control	COPB
103647	LT0090_46	O16	50	352	negative control	
103658	LT0090_46	P3	50	363	negative control	
103676	LT0090_46	P21	50	381	positive control	COPB
103679	LT0090_46	P24	50	384	positive control	COPB
103680	LT0090_48	A1	50	1	positive control	ENSG00000149503
103683	LT0090_48	A4	50	4	positive control	ENSG00000149503
103694	LT0090_48	A15	50	15	negative control	
103705	LT0090_48	B2	50	26	negative control	
103728	LT0090_48	C1	50	49	positive control	ENSG00000149503
103731	LT0090_48	C4	50	52	positive control	ENSG00000149503
103742	LT0090_48	C15	50	63	negative control	
103753	LT0090_48	D2	50	74	negative control	
103983	LT0090_48	M16	50	304	negative control	
103994	LT0090_48	N3	50	315	negative control	
104012	LT0090_48	N21	50	333	positive control	COPB
104015	LT0090_48	N24	50	336	positive control	COPB
104031	LT0090_48	O16	50	352	negative control	
104042	LT0090_48	P3	50	363	negative control	
104060	LT0090_48	P21	50	381	positive control	COPB
104063	LT0090_48	P24	50	384	positive control	COPB
104064	LT0091_01	A1	50	1	positive control	ENSG00000149503
104067	LT0091_01	A4	50	4	positive control	ENSG00000149503
104078	LT0091_01	A15	50	15	negative control	
104089	LT0091_01	B2	50	26	negative control	
104112	LT0091_01	C1	50	49	positive control	ENSG00000149503
104115	LT0091_01	C4	50	52	positive control	ENSG00000149503
104126	LT0091_01	C15	50	63	negative control	
104137	LT0091_01	D2	50	74	negative control	
104367	LT0091_01	M16	50	304	negative control	
104378	LT0091_01	N3	50	315	negative control	
104396	LT0091_01	N21	50	333	positive control	COPB
104399	LT0091_01	N24	50	336	positive control	COPB
104415	LT0091_01	O16	50	352	negative control	
104426	LT0091_01	P3	50	363	negative control	
104444	LT0091_01	P21	50	381	positive control	COPB
104447	LT0091_01	P24	50	384	positive control	COPB
104448	LT0091_02	A1	50	1	positive control	ENSG00000149503
104451	LT0091_02	A4	50	4	positive control	ENSG00000149503
104462	LT0091_02	A15	50	15	negative control	
104473	LT0091_02	B2	50	26	negative control	
104496	LT0091_02	C1	50	49	positive control	ENSG00000149503
104499	LT0091_02	C4	50	52	positive control	ENSG00000149503
104510	LT0091_02	C15	50	63	negative control	
104521	LT0091_02	D2	50	74	negative control	
104751	LT0091_02	M16	50	304	negative control	
104762	LT0091_02	N3	50	315	negative control	
104780	LT0091_02	N21	50	333	positive control	COPB
104783	LT0091_02	N24	50	336	positive control	COPB
104799	LT0091_02	O16	50	352	negative control	
104810	LT0091_02	P3	50	363	negative control	
104828	LT0091_02	P21	50	381	positive control	COPB
104831	LT0091_02	P24	50	384	positive control	COPB
104832	LT0091_30	A1	50	1	positive control	ENSG00000149503
104835	LT0091_30	A4	50	4	positive control	ENSG00000149503
104846	LT0091_30	A15	50	15	negative control	
104857	LT0091_30	B2	50	26	negative control	
104880	LT0091_30	C1	50	49	positive control	ENSG00000149503
104883	LT0091_30	C4	50	52	positive control	ENSG00000149503
104894	LT0091_30	C15	50	63	negative control	
104905	LT0091_30	D2	50	74	negative control	
105135	LT0091_30	M16	50	304	negative control	
105146	LT0091_30	N3	50	315	negative control	
105164	LT0091_30	N21	50	333	positive control	COPB
105167	LT0091_30	N24	50	336	positive control	COPB
105183	LT0091_30	O16	50	352	negative control	
105194	LT0091_30	P3	50	363	negative control	
105212	LT0091_30	P21	50	381	positive control	COPB
105215	LT0091_30	P24	50	384	positive control	COPB
105216	LT0092_14	A1	50	1	positive control	ENSG00000149503
105219	LT0092_14	A4	50	4	positive control	ENSG00000149503
105230	LT0092_14	A15	50	15	negative control	
105241	LT0092_14	B2	50	26	negative control	
105264	LT0092_14	C1	50	49	positive control	ENSG00000149503
105267	LT0092_14	C4	50	52	positive control	ENSG00000149503
105278	LT0092_14	C15	50	63	negative control	
105289	LT0092_14	D2	50	74	negative control	
105519	LT0092_14	M16	50	304	negative control	
105530	LT0092_14	N3	50	315	negative control	
105548	LT0092_14	N21	50	333	positive control	COPB
105551	LT0092_14	N24	50	336	positive control	COPB
105567	LT0092_14	O16	50	352	negative control	
105578	LT0092_14	P3	50	363	negative control	
105596	LT0092_14	P21	50	381	positive control	COPB
105599	LT0092_14	P24	50	384	positive control	COPB
105600	LT0092_15	A1	50	1	positive control	ENSG00000149503
105603	LT0092_15	A4	50	4	positive control	ENSG00000149503
105614	LT0092_15	A15	50	15	negative control	
105625	LT0092_15	B2	50	26	negative control	
105648	LT0092_15	C1	50	49	positive control	ENSG00000149503
105651	LT0092_15	C4	50	52	positive control	ENSG00000149503
105662	LT0092_15	C15	50	63	negative control	
105673	LT0092_15	D2	50	74	negative control	
105903	LT0092_15	M16	50	304	negative control	
105914	LT0092_15	N3	50	315	negative control	
105932	LT0092_15	N21	50	333	positive control	COPB
105935	LT0092_15	N24	50	336	positive control	COPB
105951	LT0092_15	O16	50	352	negative control	
105962	LT0092_15	P3	50	363	negative control	
105980	LT0092_15	P21	50	381	positive control	COPB
105983	LT0092_15	P24	50	384	positive control	COPB
105984	LT0092_39	A1	50	1	positive control	ENSG00000149503
105987	LT0092_39	A4	50	4	positive control	ENSG00000149503
105998	LT0092_39	A15	50	15	negative control	
106009	LT0092_39	B2	50	26	negative control	
106032	LT0092_39	C1	50	49	positive control	ENSG00000149503
106035	LT0092_39	C4	50	52	positive control	ENSG00000149503
106046	LT0092_39	C15	50	63	negative control	
106057	LT0092_39	D2	50	74	negative control	
106287	LT0092_39	M16	50	304	negative control	
106298	LT0092_39	N3	50	315	negative control	
106316	LT0092_39	N21	50	333	positive control	COPB
106319	LT0092_39	N24	50	336	positive control	COPB
106335	LT0092_39	O16	50	352	negative control	
106346	LT0092_39	P3	50	363	negative control	
106364	LT0092_39	P21	50	381	positive control	COPB
106367	LT0092_39	P24	50	384	positive control	COPB
106368	LT0093_13	A1	50	1	positive control	ENSG00000149503
106371	LT0093_13	A4	50	4	positive control	ENSG00000149503
106382	LT0093_13	A15	50	15	negative control	
106393	LT0093_13	B2	50	26	negative control	
106416	LT0093_13	C1	50	49	positive control	ENSG00000149503
106419	LT0093_13	C4	50	52	positive control	ENSG00000149503
106430	LT0093_13	C15	50	63	negative control	
106441	LT0093_13	D2	50	74	negative control	
106671	LT0093_13	M16	50	304	negative control	
106682	LT0093_13	N3	50	315	negative control	
106700	LT0093_13	N21	50	333	positive control	COPB
106703	LT0093_13	N24	50	336	positive control	COPB
106719	LT0093_13	O16	50	352	negative control	
106730	LT0093_13	P3	50	363	negative control	
106748	LT0093_13	P21	50	381	positive control	COPB
106751	LT0093_13	P24	50	384	positive control	COPB
106752	LT0093_16	A1	50	1	positive control	ENSG00000149503
106755	LT0093_16	A4	50	4	positive control	ENSG00000149503
106766	LT0093_16	A15	50	15	negative control	
106777	LT0093_16	B2	50	26	negative control	
106800	LT0093_16	C1	50	49	positive control	ENSG00000149503
106803	LT0093_16	C4	50	52	positive control	ENSG00000149503
106814	LT0093_16	C15	50	63	negative control	
106825	LT0093_16	D2	50	74	negative control	
107055	LT0093_16	M16	50	304	negative control	
107066	LT0093_16	N3	50	315	negative control	
107084	LT0093_16	N21	50	333	positive control	COPB
107087	LT0093_16	N24	50	336	positive control	COPB
107103	LT0093_16	O16	50	352	negative control	
107114	LT0093_16	P3	50	363	negative control	
107132	LT0093_16	P21	50	381	positive control	COPB
107135	LT0093_16	P24	50	384	positive control	COPB
107136	LT0093_17	A1	50	1	positive control	ENSG00000149503
107139	LT0093_17	A4	50	4	positive control	ENSG00000149503
107150	LT0093_17	A15	50	15	negative control	
107161	LT0093_17	B2	50	26	negative control	
107184	LT0093_17	C1	50	49	positive control	ENSG00000149503
107187	LT0093_17	C4	50	52	positive control	ENSG00000149503
107198	LT0093_17	C15	50	63	negative control	
107209	LT0093_17	D2	50	74	negative control	
107439	LT0093_17	M16	50	304	negative control	
107450	LT0093_17	N3	50	315	negative control	
107468	LT0093_17	N21	50	333	positive control	COPB
107471	LT0093_17	N24	50	336	positive control	COPB
107487	LT0093_17	O16	50	352	negative control	
107498	LT0093_17	P3	50	363	negative control	
107516	LT0093_17	P21	50	381	positive control	COPB
107519	LT0093_17	P24	50	384	positive control	COPB
107520	LT0094_01	A1	50	1	positive control	ENSG00000149503
107523	LT0094_01	A4	50	4	positive control	ENSG00000149503
107534	LT0094_01	A15	50	15	negative control	
107545	LT0094_01	B2	50	26	negative control	
107568	LT0094_01	C1	50	49	positive control	ENSG00000149503
107571	LT0094_01	C4	50	52	positive control	ENSG00000149503
107582	LT0094_01	C15	50	63	negative control	
107593	LT0094_01	D2	50	74	negative control	
107823	LT0094_01	M16	50	304	negative control	
107834	LT0094_01	N3	50	315	negative control	
107852	LT0094_01	N21	50	333	positive control	COPB
107855	LT0094_01	N24	50	336	positive control	COPB
107871	LT0094_01	O16	50	352	negative control	
107882	LT0094_01	P3	50	363	negative control	
107900	LT0094_01	P21	50	381	positive control	COPB
107903	LT0094_01	P24	50	384	positive control	COPB
107904	LT0094_02	A1	50	1	positive control	ENSG00000149503
107907	LT0094_02	A4	50	4	positive control	ENSG00000149503
107918	LT0094_02	A15	50	15	negative control	
107929	LT0094_02	B2	50	26	negative control	
107952	LT0094_02	C1	50	49	positive control	ENSG00000149503
107955	LT0094_02	C4	50	52	positive control	ENSG00000149503
107966	LT0094_02	C15	50	63	negative control	
107977	LT0094_02	D2	50	74	negative control	
108207	LT0094_02	M16	50	304	negative control	
108218	LT0094_02	N3	50	315	negative control	
108236	LT0094_02	N21	50	333	positive control	COPB
108239	LT0094_02	N24	50	336	positive control	COPB
108255	LT0094_02	O16	50	352	negative control	
108266	LT0094_02	P3	50	363	negative control	
108284	LT0094_02	P21	50	381	positive control	COPB
108287	LT0094_02	P24	50	384	positive control	COPB
108288	LT0094_04	A1	50	1	positive control	ENSG00000149503
108291	LT0094_04	A4	50	4	positive control	ENSG00000149503
108302	LT0094_04	A15	50	15	negative control	
108313	LT0094_04	B2	50	26	negative control	
108336	LT0094_04	C1	50	49	positive control	ENSG00000149503
108339	LT0094_04	C4	50	52	positive control	ENSG00000149503
108350	LT0094_04	C15	50	63	negative control	
108361	LT0094_04	D2	50	74	negative control	
108591	LT0094_04	M16	50	304	negative control	
108602	LT0094_04	N3	50	315	negative control	
108620	LT0094_04	N21	50	333	positive control	COPB
108623	LT0094_04	N24	50	336	positive control	COPB
108639	LT0094_04	O16	50	352	negative control	
108650	LT0094_04	P3	50	363	negative control	
108671	LT0094_04	P24	50	384	positive control	COPB
108672	LT0094_44	A1	50	1	positive control	ENSG00000149503
108675	LT0094_44	A4	50	4	positive control	ENSG00000149503
108686	LT0094_44	A15	50	15	negative control	
108697	LT0094_44	B2	50	26	negative control	
108720	LT0094_44	C1	50	49	positive control	ENSG00000149503
108723	LT0094_44	C4	50	52	positive control	ENSG00000149503
108734	LT0094_44	C15	50	63	negative control	
108745	LT0094_44	D2	50	74	negative control	
108975	LT0094_44	M16	50	304	negative control	
108986	LT0094_44	N3	50	315	negative control	
109004	LT0094_44	N21	50	333	positive control	COPB
109007	LT0094_44	N24	50	336	positive control	COPB
109023	LT0094_44	O16	50	352	negative control	
109034	LT0094_44	P3	50	363	negative control	
109052	LT0094_44	P21	50	381	positive control	COPB
109055	LT0094_44	P24	50	384	positive control	COPB
109056	LT0095_12	A1	50	1	positive control	ENSG00000149503
109059	LT0095_12	A4	50	4	positive control	ENSG00000149503
109070	LT0095_12	A15	50	15	negative control	
109081	LT0095_12	B2	50	26	negative control	
109104	LT0095_12	C1	50	49	positive control	ENSG00000149503
109107	LT0095_12	C4	50	52	positive control	ENSG00000149503
109118	LT0095_12	C15	50	63	negative control	
109129	LT0095_12	D2	50	74	negative control	
109359	LT0095_12	M16	50	304	negative control	
109370	LT0095_12	N3	50	315	negative control	
109388	LT0095_12	N21	50	333	positive control	COPB
109391	LT0095_12	N24	50	336	positive control	COPB
109407	LT0095_12	O16	50	352	negative control	
109418	LT0095_12	P3	50	363	negative control	
109436	LT0095_12	P21	50	381	positive control	COPB
109439	LT0095_12	P24	50	384	positive control	COPB
109440	LT0095_13	A1	50	1	positive control	ENSG00000149503
109443	LT0095_13	A4	50	4	positive control	ENSG00000149503
109454	LT0095_13	A15	50	15	negative control	
109465	LT0095_13	B2	50	26	negative control	
109488	LT0095_13	C1	50	49	positive control	ENSG00000149503
109491	LT0095_13	C4	50	52	positive control	ENSG00000149503
109502	LT0095_13	C15	50	63	negative control	
109513	LT0095_13	D2	50	74	negative control	
109743	LT0095_13	M16	50	304	negative control	
109754	LT0095_13	N3	50	315	negative control	
109772	LT0095_13	N21	50	333	positive control	COPB
109775	LT0095_13	N24	50	336	positive control	COPB
109791	LT0095_13	O16	50	352	negative control	
109802	LT0095_13	P3	50	363	negative control	
109820	LT0095_13	P21	50	381	positive control	COPB
109823	LT0095_13	P24	50	384	positive control	COPB
109824	LT0095_14	A1	50	1	positive control	ENSG00000149503
109827	LT0095_14	A4	50	4	positive control	ENSG00000149503
109838	LT0095_14	A15	50	15	negative control	
109849	LT0095_14	B2	50	26	negative control	
109872	LT0095_14	C1	50	49	positive control	ENSG00000149503
109875	LT0095_14	C4	50	52	positive control	ENSG00000149503
109886	LT0095_14	C15	50	63	negative control	
109897	LT0095_14	D2	50	74	negative control	
110127	LT0095_14	M16	50	304	negative control	
110138	LT0095_14	N3	50	315	negative control	
110156	LT0095_14	N21	50	333	positive control	COPB
110159	LT0095_14	N24	50	336	positive control	COPB
110175	LT0095_14	O16	50	352	negative control	
110186	LT0095_14	P3	50	363	negative control	
110204	LT0095_14	P21	50	381	positive control	COPB
110207	LT0095_14	P24	50	384	positive control	COPB
110211	LT0096_29	A4	50	4	positive control	ENSG00000149503
110222	LT0096_29	A15	50	15	negative control	
110233	LT0096_29	B2	50	26	negative control	
110256	LT0096_29	C1	50	49	positive control	ENSG00000149503
110259	LT0096_29	C4	50	52	positive control	ENSG00000149503
110270	LT0096_29	C15	50	63	negative control	
110281	LT0096_29	D2	50	74	negative control	
110511	LT0096_29	M16	50	304	negative control	
110522	LT0096_29	N3	50	315	negative control	
110540	LT0096_29	N21	50	333	positive control	COPB
110543	LT0096_29	N24	50	336	positive control	COPB
110559	LT0096_29	O16	50	352	negative control	
110570	LT0096_29	P3	50	363	negative control	
110588	LT0096_29	P21	50	381	positive control	COPB
110591	LT0096_29	P24	50	384	positive control	COPB
110592	LT0096_33	A1	50	1	positive control	ENSG00000149503
110595	LT0096_33	A4	50	4	positive control	ENSG00000149503
110606	LT0096_33	A15	50	15	negative control	
110617	LT0096_33	B2	50	26	negative control	
110640	LT0096_33	C1	50	49	positive control	ENSG00000149503
110643	LT0096_33	C4	50	52	positive control	ENSG00000149503
110654	LT0096_33	C15	50	63	negative control	
110665	LT0096_33	D2	50	74	negative control	
110895	LT0096_33	M16	50	304	negative control	
110906	LT0096_33	N3	50	315	negative control	
110924	LT0096_33	N21	50	333	positive control	COPB
110927	LT0096_33	N24	50	336	positive control	COPB
110943	LT0096_33	O16	50	352	negative control	
110954	LT0096_33	P3	50	363	negative control	
110972	LT0096_33	P21	50	381	positive control	COPB
110975	LT0096_33	P24	50	384	positive control	COPB
110976	LT0096_35	A1	50	1	positive control	ENSG00000149503
110979	LT0096_35	A4	50	4	positive control	ENSG00000149503
110990	LT0096_35	A15	50	15	negative control	
111001	LT0096_35	B2	50	26	negative control	
111024	LT0096_35	C1	50	49	positive control	ENSG00000149503
111027	LT0096_35	C4	50	52	positive control	ENSG00000149503
111038	LT0096_35	C15	50	63	negative control	
111049	LT0096_35	D2	50	74	negative control	
111279	LT0096_35	M16	50	304	negative control	
111290	LT0096_35	N3	50	315	negative control	
111308	LT0096_35	N21	50	333	positive control	COPB
111311	LT0096_35	N24	50	336	positive control	COPB
111327	LT0096_35	O16	50	352	negative control	
111338	LT0096_35	P3	50	363	negative control	
111356	LT0096_35	P21	50	381	positive control	COPB
111359	LT0096_35	P24	50	384	positive control	COPB
111360	LT0097_04	A1	50	1	positive control	ENSG00000149503
111363	LT0097_04	A4	50	4	positive control	ENSG00000149503
111374	LT0097_04	A15	50	15	negative control	
111385	LT0097_04	B2	50	26	negative control	
111408	LT0097_04	C1	50	49	positive control	ENSG00000149503
111411	LT0097_04	C4	50	52	positive control	ENSG00000149503
111422	LT0097_04	C15	50	63	negative control	
111433	LT0097_04	D2	50	74	negative control	
111663	LT0097_04	M16	50	304	negative control	
111674	LT0097_04	N3	50	315	negative control	
111692	LT0097_04	N21	50	333	positive control	COPB
111695	LT0097_04	N24	50	336	positive control	COPB
111711	LT0097_04	O16	50	352	negative control	
111722	LT0097_04	P3	50	363	negative control	
111740	LT0097_04	P21	50	381	positive control	COPB
111743	LT0097_04	P24	50	384	positive control	COPB
111744	LT0097_44	A1	50	1	positive control	ENSG00000149503
111747	LT0097_44	A4	50	4	positive control	ENSG00000149503
111758	LT0097_44	A15	50	15	negative control	
111769	LT0097_44	B2	50	26	negative control	
111792	LT0097_44	C1	50	49	positive control	ENSG00000149503
111817	LT0097_44	D2	50	74	negative control	
112047	LT0097_44	M16	50	304	negative control	
112058	LT0097_44	N3	50	315	negative control	
112076	LT0097_44	N21	50	333	positive control	COPB
112079	LT0097_44	N24	50	336	positive control	COPB
112095	LT0097_44	O16	50	352	negative control	
112106	LT0097_44	P3	50	363	negative control	
112124	LT0097_44	P21	50	381	positive control	COPB
112127	LT0097_44	P24	50	384	positive control	COPB
112128	LT0097_48	A1	50	1	positive control	ENSG00000149503
112131	LT0097_48	A4	50	4	positive control	ENSG00000149503
112142	LT0097_48	A15	50	15	negative control	
112153	LT0097_48	B2	50	26	negative control	
112176	LT0097_48	C1	50	49	positive control	ENSG00000149503
112179	LT0097_48	C4	50	52	positive control	ENSG00000149503
112190	LT0097_48	C15	50	63	negative control	
112201	LT0097_48	D2	50	74	negative control	
112431	LT0097_48	M16	50	304	negative control	
112442	LT0097_48	N3	50	315	negative control	
112460	LT0097_48	N21	50	333	positive control	COPB
112463	LT0097_48	N24	50	336	positive control	COPB
112479	LT0097_48	O16	50	352	negative control	
112490	LT0097_48	P3	50	363	negative control	
112508	LT0097_48	P21	50	381	positive control	COPB
112511	LT0097_48	P24	50	384	positive control	COPB
112512	LT0098_01	A1	50	1	positive control	ENSG00000149503
112515	LT0098_01	A4	50	4	positive control	ENSG00000149503
112526	LT0098_01	A15	50	15	negative control	
112537	LT0098_01	B2	50	26	negative control	
112560	LT0098_01	C1	50	49	positive control	ENSG00000149503
112563	LT0098_01	C4	50	52	positive control	ENSG00000149503
112574	LT0098_01	C15	50	63	negative control	
112585	LT0098_01	D2	50	74	negative control	
112815	LT0098_01	M16	50	304	negative control	
112826	LT0098_01	N3	50	315	negative control	
112844	LT0098_01	N21	50	333	positive control	COPB
112847	LT0098_01	N24	50	336	positive control	COPB
112863	LT0098_01	O16	50	352	negative control	
112874	LT0098_01	P3	50	363	negative control	
112892	LT0098_01	P21	50	381	positive control	COPB
112895	LT0098_01	P24	50	384	positive control	COPB
112896	LT0098_13	A1	50	1	positive control	ENSG00000149503
112899	LT0098_13	A4	50	4	positive control	ENSG00000149503
112910	LT0098_13	A15	50	15	negative control	
112921	LT0098_13	B2	50	26	negative control	
112944	LT0098_13	C1	50	49	positive control	ENSG00000149503
112947	LT0098_13	C4	50	52	positive control	ENSG00000149503
112958	LT0098_13	C15	50	63	negative control	
112969	LT0098_13	D2	50	74	negative control	
113199	LT0098_13	M16	50	304	negative control	
113210	LT0098_13	N3	50	315	negative control	
113228	LT0098_13	N21	50	333	positive control	COPB
113231	LT0098_13	N24	50	336	positive control	COPB
113247	LT0098_13	O16	50	352	negative control	
113258	LT0098_13	P3	50	363	negative control	
113276	LT0098_13	P21	50	381	positive control	COPB
113279	LT0098_13	P24	50	384	positive control	COPB
113280	LT0098_14	A1	50	1	positive control	ENSG00000149503
113283	LT0098_14	A4	50	4	positive control	ENSG00000149503
113294	LT0098_14	A15	50	15	negative control	
113305	LT0098_14	B2	50	26	negative control	
113328	LT0098_14	C1	50	49	positive control	ENSG00000149503
113331	LT0098_14	C4	50	52	positive control	ENSG00000149503
113342	LT0098_14	C15	50	63	negative control	
113353	LT0098_14	D2	50	74	negative control	
113583	LT0098_14	M16	50	304	negative control	
113594	LT0098_14	N3	50	315	negative control	
113612	LT0098_14	N21	50	333	positive control	COPB
113615	LT0098_14	N24	50	336	positive control	COPB
113631	LT0098_14	O16	50	352	negative control	
113642	LT0098_14	P3	50	363	negative control	
113660	LT0098_14	P21	50	381	positive control	COPB
113663	LT0098_14	P24	50	384	positive control	COPB
113664	LT0099_01	A1	50	1	positive control	ENSG00000149503
113667	LT0099_01	A4	50	4	positive control	ENSG00000149503
113678	LT0099_01	A15	50	15	negative control	
113689	LT0099_01	B2	50	26	negative control	
113712	LT0099_01	C1	50	49	positive control	ENSG00000149503
113715	LT0099_01	C4	50	52	positive control	ENSG00000149503
113726	LT0099_01	C15	50	63	negative control	
113737	LT0099_01	D2	50	74	negative control	
113967	LT0099_01	M16	50	304	negative control	
113978	LT0099_01	N3	50	315	negative control	
113996	LT0099_01	N21	50	333	positive control	COPB
113999	LT0099_01	N24	50	336	positive control	COPB
114015	LT0099_01	O16	50	352	negative control	
114026	LT0099_01	P3	50	363	negative control	
114044	LT0099_01	P21	50	381	positive control	COPB
114047	LT0099_01	P24	50	384	positive control	COPB
114048	LT0099_16	A1	50	1	positive control	ENSG00000149503
114051	LT0099_16	A4	50	4	positive control	ENSG00000149503
114062	LT0099_16	A15	50	15	negative control	
114073	LT0099_16	B2	50	26	negative control	
114096	LT0099_16	C1	50	49	positive control	ENSG00000149503
114099	LT0099_16	C4	50	52	positive control	ENSG00000149503
114110	LT0099_16	C15	50	63	negative control	
114121	LT0099_16	D2	50	74	negative control	
114351	LT0099_16	M16	50	304	negative control	
114362	LT0099_16	N3	50	315	negative control	
114380	LT0099_16	N21	50	333	positive control	COPB
114383	LT0099_16	N24	50	336	positive control	COPB
114399	LT0099_16	O16	50	352	negative control	
114410	LT0099_16	P3	50	363	negative control	
114428	LT0099_16	P21	50	381	positive control	COPB
114431	LT0099_16	P24	50	384	positive control	COPB
114432	LT0099_20	A1	50	1	positive control	ENSG00000149503
114435	LT0099_20	A4	50	4	positive control	ENSG00000149503
114446	LT0099_20	A15	50	15	negative control	
114457	LT0099_20	B2	50	26	negative control	
114480	LT0099_20	C1	50	49	positive control	ENSG00000149503
114483	LT0099_20	C4	50	52	positive control	ENSG00000149503
114494	LT0099_20	C15	50	63	negative control	
114505	LT0099_20	D2	50	74	negative control	
114735	LT0099_20	M16	50	304	negative control	
114746	LT0099_20	N3	50	315	negative control	
114764	LT0099_20	N21	50	333	positive control	COPB
114767	LT0099_20	N24	50	336	positive control	COPB
114783	LT0099_20	O16	50	352	negative control	
114794	LT0099_20	P3	50	363	negative control	
114812	LT0099_20	P21	50	381	positive control	COPB
114815	LT0099_20	P24	50	384	positive control	COPB
114816	LT0100_03	A1	50	1	positive control	ENSG00000149503
114819	LT0100_03	A4	50	4	positive control	ENSG00000149503
114830	LT0100_03	A15	50	15	negative control	
114841	LT0100_03	B2	50	26	negative control	
114864	LT0100_03	C1	50	49	positive control	ENSG00000149503
114867	LT0100_03	C4	50	52	positive control	ENSG00000149503
114878	LT0100_03	C15	50	63	negative control	
114889	LT0100_03	D2	50	74	negative control	
115119	LT0100_03	M16	50	304	negative control	
115130	LT0100_03	N3	50	315	negative control	
115148	LT0100_03	N21	50	333	positive control	COPB
115151	LT0100_03	N24	50	336	positive control	COPB
115167	LT0100_03	O16	50	352	negative control	
115178	LT0100_03	P3	50	363	negative control	
115196	LT0100_03	P21	50	381	positive control	COPB
115199	LT0100_03	P24	50	384	positive control	COPB
115200	LT0100_09	A1	50	1	positive control	ENSG00000149503
115203	LT0100_09	A4	50	4	positive control	ENSG00000149503
115214	LT0100_09	A15	50	15	negative control	
115225	LT0100_09	B2	50	26	negative control	
115248	LT0100_09	C1	50	49	positive control	ENSG00000149503
115251	LT0100_09	C4	50	52	positive control	ENSG00000149503
115262	LT0100_09	C15	50	63	negative control	
115273	LT0100_09	D2	50	74	negative control	
115503	LT0100_09	M16	50	304	negative control	
115514	LT0100_09	N3	50	315	negative control	
115532	LT0100_09	N21	50	333	positive control	COPB
115535	LT0100_09	N24	50	336	positive control	COPB
115551	LT0100_09	O16	50	352	negative control	
115562	LT0100_09	P3	50	363	negative control	
115580	LT0100_09	P21	50	381	positive control	COPB
